t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
18601,2.3702,2.1554,1.9256,0.827,4.1851,-0.0251,-0.1763,0.03171,-0.143,-1.225
18701,2.2797,2.219,1.9996,0.827,4.1851,-0.0482,-0.0207,0.00275,-0.279,-0.959
18802,2.3401,2.0968,1.9029,0.8563,4.1851,0.0035,-0.1887,0.03562,-0.107,-1.382
18906,2.4959,2.3363,2.1532,0.827,4.1851,-0.0057,-0.1019,0.01042,-0.034,-1.038
19005,2.2596,2.1896,1.9711,0.827,4.2132,-0.0459,-0.0293,0.00297,-0.117,-0.99
19106,2.0184,2.1065,0.412,0.827,4.1851,-1.0258,-0.5139,1.31644,-0.08,-1.071
19208,2.3803,2.1554,1.9427,0.827,4.1851,-0.0122,-0.1788,0.0321,-0.14,-1.354
19310,2.2898,2.175,1.9939,0.827,4.1851,-0.0132,-0.0571,0.00343,-0.146,-1.277
19409,2.4858,2.3167,2.1589,0.827,4.1851,0.0123,-0.1003,0.01021,0.069,-0.999
19512,2.335,2.1701,1.9427,0.8563,4.1851,-0.0332,-0.1263,0.01707,-0.242,-1.051
19615,2.3853,2.1603,1.9199,0.827,4.1851,-0.03,-0.1909,0.03733,-0.268,-1.306
19718,2.4808,2.3216,2.1703,0.827,4.1851,0.0146,-0.0877,0.00791,-0.099,-1.093
19818,2.2697,2.2092,1.9825,0.827,4.1851,-0.053,-0.0236,0.00336,-0.313,-1.189
19918,2.2546,2.1701,2.0167,0.827,4.1851,-0.0012,-0.0154,0.00024,0.005,-1.062
20018,2.3602,2.175,1.9427,0.827,4.1851,-0.0325,-0.1483,0.02306,-0.167,-1.177
20122,2.2496,2.1848,1.9598,0.827,4.2412,-0.0511,-0.0271,0.00334,-0.168,-1.137
20223,2.4858,2.3216,2.1589,0.827,4.1851,0.0082,-0.0976,0.00959,-0.017,-0.956
20327,2.33,2.1701,1.937,0.827,4.1851,-0.0379,-0.1239,0.01678,-0.281,-1.102
20426,2.2797,2.219,2.0167,0.827,4.1851,-0.0373,-0.0133,0.00156,-0.134,-1.237
20528,2.4808,2.3216,2.1646,0.827,4.129,0.0109,-0.0902,0.00825,-0.005,-1.047
20631,2.3501,2.1163,1.8858,0.827,4.1851,-0.0219,-0.1953,0.0386,-0.215,-1.197
20733,2.3652,2.1359,1.9313,0.827,4.2132,-0.0061,-0.1796,0.0323,0.036,-1.044
20830,2.2848,2.2239,2.0281,0.827,4.1851,-0.0331,-0.0106,0.00121,-0.252,-1.177
20932,2.3602,2.1163,1.9199,0.8563,4.1851,0.002,-0.1903,0.03622,-0.205,-1.232
21036,2.4808,2.3216,2.1589,0.8563,4.1851,0.0073,-0.0927,0.00864,0.086,-1.028
21134,2.3702,2.1408,1.9256,0.827,4.1571,-0.0129,-0.1843,0.03414,-0.132,-1.222
21236,2.2898,2.2239,2.0394,0.827,4.1851,-0.0248,-0.0106,0.00073,-0.255,-1.179
21338,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,-0.049,-1.157
21441,2.3099,2.1896,1.9598,0.827,4.1571,-0.0435,-0.0836,0.00888,-0.273,-1.134
