t_ms,eps_a,eps_g
18127,-0.01861,-0.09402
18150,-0.07746,-0.13063
18171,-0.06962,-0.11369
18194,-0.01174,-0.08939
18216,0.04963,-0.05199
18239,-0.09447,-0.1262
18261,0.03126,-0.05504
18283,0.03687,-0.0549
18305,-0.08283,-0.12872
18328,0.00596,-0.08171
18350,0.00698,-0.08131
18372,-0.01861,-0.09402
18394,-0.10204,-0.11614
18417,-0.00543,-0.07509
18440,-0.01082,-0.09402
18461,0.02022,-0.04134
18484,-0.12358,-0.12541
18506,-0.02458,-0.10329
18529,-0.11053,-0.13236
18551,-0.01795,-0.0739
18573,-0.02205,-0.09634
18595,-0.07352,0.04932
18618,-0.09831,-0.12369
18640,-0.07244,-0.11078
18662,0.01233,-0.07728
18684,-0.02458,-0.10329
18707,-0.07516,-0.10284
18729,0.01131,-0.07767
18752,-0.01477,-0.09654
18773,-0.00097,-0.07238
18796,-0.09304,-0.13064
18818,-0.01861,-0.09402
18841,-0.09202,-0.13024
18862,-0.022,-0.08145
18885,-0.01386,-0.10117
18907,-0.01784,-0.06887
18930,0.00937,-0.07344
18952,-0.10945,-0.14593
18974,-0.00586,-0.06431
18997,-0.03237,-0.10329
19019,0.0235,-0.06099
19042,0.02404,-0.09971
19063,0.01676,-0.09951
19086,-0.00876,-0.07238
19108,-0.04926,-0.09794
19131,-0.02114,-0.10097
19152,0.06134,-0.04351
19175,-0.00514,-0.05405
19197,-0.01174,-0.08939
19220,-0.13279,-0.14983
19242,-0.17981,-0.08617
19264,0.02229,-0.0465
19286,-0.08458,-0.13937
19309,-0.01335,-0.10097
19331,-0.11206,-0.13296
19353,0.01491,-0.08224
19375,-0.01133,-0.09422
19398,0.00644,-0.07556
19420,-0.08195,-0.12739
19443,-0.02297,-0.09171
19465,0.04603,-0.04537
19487,-0.07585,-0.14996
19510,-0.01112,-0.11507
19532,-0.13806,-0.14289
19554,0.00867,-0.05875
19576,-0.09333,-0.15168
19599,-0.00451,-0.07973
19621,-0.01386,-0.10117
19643,0.01944,-0.06854
19665,-0.07333,-0.1121
19688,-0.01225,-0.08959
19710,-0.09729,-0.12329
19733,0.0167,-0.05464
19754,-0.02205,-0.09634
19777,-0.09666,-0.14897
19799,0.02409,-0.04981
19822,-0.01861,-0.09402
19843,-0.05098,-0.11044
